obj_1,obj_2,obj_3,odd,reason_for_similarity
Corkscrew,Grater,Can Opener,Grater,The other two are used to open containers.
Juicer,Blender,Whisk,Whisk,The other two are used to liquidize food.
Melon Baller,Ladle,Ice Cream Scoop,Ladle,The other two are used to scoop food.
Baking Sheet,Mortar and Pestle,Garlic Press,Baking Sheet,The other two are used to crush food.
Tongs,Grater,Zester,Tongs,The other two are used to shave off parts of food.
Rolling Pin,Sieve,Colander,Rolling Pin,The other two are used to separate solids from liquids.
Brass Tacks,Aluminum Foil,Steel Rebar,Aluminum Foil,The other two are used for reinforcement
Plasterboard,Insulation,Drywall,Insulation,The other two are used for wall finishing
Marble,Lumber,Plywood,Marble,The other two are made from trees
Bitumen,Asphalt,Gravel,Gravel,The other two are used for road surfacing
Ceramic Tiles,Porcelain Tiles,Glass Tiles,Glass Tiles,The other two are made from clay
Fiberglass Insulation,Foam Insulation,Mineral Wool Insulation,Foam Insulation,The other two are made from spun minerals
Copper Pipe,Steel Rebar,PVC Pipe,Steel Rebar,The other two are used for plumbing
Marble Countertop,Granite Countertop,Plywood,Plywood,The other two are made from natural stone
Cement Mixer,Jackhammer,Concrete Mixer,Jackhammer,The other two are used for mixing materials
Crane,Ladder,Scaffolding,Crane,The other two are used for elevation
Cement Board,Gypsum Board,Plasterboard,Cement Board,The other two are made from gypsum
Cinder Blocks,Steel Mesh,Concrete Blocks,Steel Mesh,The other two are used for wall construction
Plywood,Steel Rebar,Reinforced Concrete,Plywood,The other two are used for structural strength
Tar Paper,Roof Felt,Insulation,Insulation,The other two are used for waterproofing
Varnish,Paint,Primer,Varnish,The other two are used for wall coating
Mortar,Grout,Caulk,Caulk,The other two are used for binding tiles
Grout,Hydraulic Cement,Waterproof Cement,Grout,The other two are used for waterproofing
Emery Cloth,Sandpaper,Paint Brush,Paint Brush,The other two are used for surface finishing
Masking Tape,Duct Tape,Insulation Tape,Masking Tape,The other two are used for insulation
Hammer,Angle Grinder,Circular Saw,Hammer,The other two are used for cutting materials
Square,Level,Measuring Tape,Measuring Tape,Level and Square are used to check angles
Table Saw,Chainsaw,Miter Saw,Chainsaw,Miter Saw and Table Saw are stationary tools
Pry Bar,Chisel,Nail Puller,Chisel,Nail Puller and Pry Bar are used for removing nails
Router,Jointer,Wood Plane,Jointer,Wood Plane and Router are used for shaping wood
Trowel,Mortar Mixer,Grout Float,Mortar Mixer,Trowel and Grout Float are used for applying and smoothing material
Wire Stripper,Pipe Wrench,Bolt Cutter,Bolt Cutter,Wire Stripper and Pipe Wrench are used for plumbing
Jack Hammer,Chipping Hammer,Sledge Hammer,Sledge Hammer,Jack Hammer and Chipping Hammer are powered by electricity
Drywall Lift,Drywall Saw,Drywall Screw Gun,Drywall Screw Gun,Drywall Saw and Drywall Lift are used for handling drywall
Tile Cutter,Tile Saw,Tile Spacer,Tile Spacer,Tile Cutter and Tile Saw are used for cutting tiles
Welding Mask,Safety Goggles,Hard Hat,Welding Mask,Safety Goggles and Hard Hat are general safety equipment
Air Compressor,Paint Sprayer,Caulking Gun,Air Compressor,Caulking Gun and Paint Sprayer are used for applying material
Masonry Brush,Paint Brush,Broom,Broom,Masonry Brush and Paint Brush are used for applying liquid
Screw,Nail,Bolt,Bolt,Screw and Nail are driven into materials
Tape Measure,Plumb Bob,Spirit Level,Tape Measure,Plumb Bob and Spirit Level are used for vertical alignment
Wrench,Clamp,Pliers,Clamp,Pliers and Wrench are used for gripping and turning
Impact Driver,Circular Saw,Power Drill,Circular Saw,Power Drill and Impact Driver are used for driving screws
Scaffold,Crane,Ladder,Crane,Ladder and Scaffold are used for working at height
Laser Level,Chalk Line,Marking Gauge,Laser Level,Chalk Line and Marking Gauge are used for marking lines
Sander,Drill Press,Grinder,Drill Press,Sander and Grinder are used for surface preparation
Power Trowel,Mortar Hoe,Concrete Vibrator,Mortar Hoe,Power Trowel and Concrete Vibrator are used for concrete finishing
Concrete Float,Concrete Edger,Concrete Screed,Concrete Edger,Concrete Float and Concrete Screed are used for leveling concrete
Demolition Hammer,Rotary Hammer,Jack Hammer,Rotary Hammer,Demolition Hammer and Jack Hammer are used for breaking concrete
Dump Truck,Forklift,Cement Mixer,Forklift,Cement Mixer and Dump Truck are both used to transport materials
Road Roller,Pile Driver,Drill Rig,Road Roller,Pile Driver and Drill Rig are both used to drill into the ground
Skid Steer Loader,Wheel Loader,Backhoe,Skid Steer Loader,Backhoe and Wheel Loader are both used for loading and unloading
Road Roller,Asphalt Plant,Paver,Asphalt Plant,Paver and Road Roller are both used in road construction
Excavator,Telescopic Handler,Trencher,Telescopic Handler,Trencher and Excavator are both used for digging trenches
Grader,Tower Crane,Scraper,Tower Crane,Scraper and Grader are both used for leveling ground
Tunnel Boring Machine,Motor Grader,Scraper,Tunnel Boring Machine,Motor Grader and Scraper are both used for grading
Dump Truck,Cherry Picker,Articulated Hauler,Cherry Picker,Articulated Hauler and Dump Truck are both used for hauling
Concrete Pump,Crawler Loader,Wheel Loader,Concrete Pump,Crawler Loader and Wheel Loader are both types of loaders
Drilling Rig,Pile Driver,Telescopic Handler,Telescopic Handler,Pile Driver and Drilling Rig are both used for drilling
Skidder,Concrete Mixer,Forwarder,Concrete Mixer,Skidder and Forwarder are both used in forestry for moving logs
Concrete Pump,Compactor,Paver,Concrete Pump,Paver and Compactor are both used for compacting surfaces
Cherry Picker,Grader,Motor Scraper,Cherry Picker,Motor Scraper and Grader are both used for grading
Trencher,Cherry Picker,Excavator,Cherry Picker,Trencher and Excavator are both used for digging
Dump Truck,Excavator,Crane,Dump Truck,The other two have a boom
Road Roller,Excavator,Forklift,Forklift,The other two are used for digging
Excavator,Cement Mixer,Dump Truck,Excavator,The other two transport material
Forklift,Paver,Road Roller,Forklift,The other two are used to flatten surfaces
Road Roller,Dump Truck,Paver,Dump Truck,Both are used to flatten surfaces
Partition Wall,False Ceiling,Load Bearing Wall,False Ceiling,Load Bearing and Partition Walls are both types of wall construction techniques
Roof Trussing,Slipforming,Jumpforming,Roof Trussing,Slipforming and Jumpforming are both types of formwork moving techniques
Shoring,Scaffolding,Excavation,Excavation,Scaffolding and Shoring are both types of support structure techniques
Boring,Grading,Tunneling,Grading,Tunneling and Boring are both types of underground construction techniques
Shotcrete,Gunite,Plastering,Plastering,Shotcrete and Gunite are both types of concrete spraying techniques
Painting,Piling,Underpinning,Painting,Piling and Underpinning are both types of foundation strengthening techniques
Steel Framing,Concrete Casting,Timber Framing,Concrete Casting,Steel and Timber Framing are both types of framing techniques
Caisson Foundation,Mat Foundation,Wall Tiling,Wall Tiling,Caisson and Mat are both types of deep foundation techniques
Weatherproofing,Insulation,Demolition,Demolition,Insulation and Weatherproofing are both types of building protection techniques
Cantilever,Arch,Flooring,Flooring,Cantilever and Arch are both types of structural element construction techniques
Hardening,Curing,Wallpapering,Wallpapering,Concrete Curing and Hardening are both types of concrete setting techniques
Wiring,Grouting,Caulking,Wiring,Grouting and Caulking are both types of sealing techniques
Nitrogen,Oxygen,Carbon,Carbon,Nitrogen and Oxygen are both part of the Nitrogen group
Bromine,Chlorine,Fluorine,Bromine,Fluorine and Chlorine are both Halogens
Sodium,Magnesium,Aluminum,Aluminum,Sodium and Magnesium are both Alkali metals
Sulfur,Phosphorus,Silicon,Silicon,Phosphorus and Sulfur are both Nonmetals
Potassium,Calcium,Scandium,Scandium,Potassium and Calcium are both Alkaline earth metals
Titanium,Chromium,Vanadium,Titanium,Vanadium and Chromium are both Transition metals
Iron,Cobalt,Manganese,Cobalt,Manganese and Iron are both part of the Iron group
Zinc,Copper,Nickel,Zinc,Nickel and Copper are both Coinage metals
Gallium,Germanium,Arsenic,Gallium,Germanium and Arsenic are both Metalloids
Bromine,Krypton,Selenium,Krypton,Selenium and Bromine are both Chalcogens
Rubidium,Strontium,Yttrium,Yttrium,Rubidium and Strontium are both Alkali metals
Molybdenum,Niobium,Zirconium,Zirconium,Niobium and Molybdenum are both Transition metals
Technetium,Ruthenium,Rhodium,Rhodium,Technetium and Ruthenium are both part of the Platinum group
Silver,Cadmium,Palladium,Cadmium,Palladium and Silver are both Precious metals
Antimony,Indium,Tin,Indium,Tin and Antimony are both Post-transition metals
Xenon,Iodine,Tellurium,Xenon,Tellurium and Iodine are both Chalcogens
Lanthanum,Barium,Cesium,Lanthanum,Cesium and Barium are both Alkali metals
Praseodymium,Neodymium,Cerium,Neodymium,Cerium and Praseodymium are both Lanthanides
Sulfuric Acid (H2SO4),Hydrochloric Acid (HCl),Sodium Hydroxide (NaOH),Sodium Hydroxide (NaOH),Sulfuric Acid and Hydrochloric Acid are both acids
Methanol (CH3OH),Ethanol (C2H5OH),Acetone (C3H6O),Acetone (C3H6O),Methanol and Ethanol are both alcohols
Fructose (C6H12O6),Sucrose (C12H22O11),Glucose (C6H12O6),Sucrose (C12H22O11),Glucose and Fructose have the same molecular formula
Benzene (C6H6),Toluene (C7H8),Ethane (C2H6),Ethane (C2H6),Benzene and Toluene are both aromatic compounds
Precipitation,Redox,Acid-Base Neutralization,Precipitation,Acid-Base Neutralization and Redox both involve transfer of electrons
Listeria,Candida,Saccharomyces,Listeria,Candida and Saccharomyces are both yeasts
Pseudomonas,Mycobacterium,Penicillium,Penicillium,Pseudomonas and Mycobacterium are both bacteria
Diode,LED,Inductor,Inductor,LED and Diode are semiconductor devices.
Switch,Connector,Fuse,Connector,Fuse and Switch are circuit protection devices.
Transformer,Battery,Generator,Transformer,Battery and Generator are power sources.
Oscillator,Potentiometer,Amplifier,Potentiometer,Amplifier and Oscillator are active components.
Relay,Circuit Breaker,Resistor,Relay,Circuit Breaker and Resistor are used to limit current.
Diode,Capacitor,Transistor,Capacitor,Transistor and Diode are semiconductor devices.
Resistor,LED,Capacitor,LED,Resistor and Capacitor are passive components.
Fuse,Transformer,Inductor,Fuse,Inductor and Transformer are magnetic devices.
Amplifier,Battery,Generator,Amplifier,Generator and Battery are power sources.
Amplifier,Switch,Oscillator,Switch,Oscillator and Amplifier are active components.
Battery,Circuit Breaker,Connector,Battery,Connector and Circuit Breaker are used for circuit connections.
Resistor,Potentiometer,Diode,Diode,Potentiometer and Resistor are used to control voltage.
Transistor,LED,Inductor,Inductor,LED and Transistor are semiconductor devices.
Diode,Battery,LED,Battery,Diode and LED are semiconductor devices.
Transformer,Inductor,Oscillator,Oscillator,Transformer and Inductor are magnetic devices.
Capacitor,Generator,Resistor,Generator,Capacitor and Resistor are passive components.
Connector,Potentiometer,Resistor,Connector,Resistor and Potentiometer are used to control voltage.
Oscillator,Transformer,Amplifier,Transformer,Amplifier and Oscillator are active components.
LED,Potentiometer,Resistor,LED,Potentiometer and Resistor are used to control voltage.
Connector,Circuit Breaker,Oscillator,Oscillator,Connector and Circuit Breaker are used for circuit connections.
Relay,Switch,Battery,Battery,Relay and Switch are used to control circuits.
Alexander Graham Bell,Nicolaus Copernicus,Galileo Galilei,Alexander Graham Bell,Galileo and Copernicus are astronomers
Steam Engine,Telescope,Microscope,Steam Engine,Telescope and Microscope are optical instruments
Gregor Mendel,Charles Darwin,Johannes Kepler,Johannes Kepler,Darwin and Mendel are known for their work in biology
Newton's Laws of Motion,Mendelian Genetics,Archimedes' Principle,Mendelian Genetics,The first two are principles in physics
Theory of Plate Tectonics,Cell Theory,Atomic Theory,Theory of Plate Tectonics,Atomic Theory and Cell Theory are related to microscopic structures
Alexander Fleming,Werner Heisenberg,Erwin Schrödinger,Alexander Fleming,Schrödinger and Heisenberg are known for their work in quantum mechanics
Electron,Proton,Neuron,Neuron,Electron and Proton are subatomic particles
Photosynthesis,Gravity,Electromagnetism,Photosynthesis,Gravity and Electromagnetism are fundamental forces
Steam engine,Printing press,Telegraph,Printing press,Steam engine and Telegraph were invented in the 19th century
Vacuum tube,Magnetic tape,Punch card,Vacuum tube,Punch card and Magnetic tape were both used for data storage.
Pascal,COBOL,Fortran,Pascal,Fortran and COBOL were both developed in the 1950s.
ARPANET,Ethernet,BITNET,Ethernet,ARPANET and BITNET were both early computer networks.
Grace Hopper,Bill Gates,John Backus,Bill Gates,Grace Hopper and John Backus were both early pioneers in programming languages.
IBM 360,Apple I,PDP-11,Apple I,IBM 360 and PDP-11 were both mainframe computers.
Steve Jobs,Alan Turing,John von Neumann,Steve Jobs,John von Neumann and Alan Turing were both pioneers in theoretical computing.
Integrated circuit,Silicon chip,Transistor,Silicon chip,Transistor and Integrated circuit were both crucial developments in miniaturizing electronics.
IBM 5150,Apple Lisa,Xerox Alto,IBM 5150,Xerox Alto and Apple Lisa were both pioneering in graphical user interfaces.
Vint Cerf,Mark Zuckerberg,Tim Berners-Lee,Mark Zuckerberg,Tim Berners-Lee and Vint Cerf were both pioneers in the development of the internet.
ZX Spectrum,IBM PC,Commodore 64,IBM PC,Commodore 64 and ZX Spectrum were both popular home computers in the 1980s.
Vacuum tube,Capacitor,Transistor,Capacitor,Vacuum tube and Transistor were both used in computers to amplify signals.
Punched tape,Card reader,Magnetic drum,Magnetic drum,Punched tape and Card reader were both used for data input.
John V. Atanasoff,Herman Hollerith,Steve Wozniak,Steve Wozniak,Herman Hollerith and John V. Atanasoff were both pioneers in mechanical computing.
George Boole,Claude Shannon,Bill Gates,Bill Gates,Claude Shannon and George Boole were both pioneers in theoretical computing.
Cataracts,Skin Cancer,Glaucoma,Skin Cancer,Glaucoma and Cataracts are eye-related diseases
Leukemia,Osteoporosis,Lymphoma,Osteoporosis,Leukemia and Lymphoma are types of cancer
Alzheimer,Hypertension,Hyperlipidemia,Alzheimer's,Hypertension and Hyperlipidemia are cardiovascular diseases
Migraine,Tension Headache,Rheumatoid Arthritis,Rheumatoid Arthritis,Migraine and Tension Headache are types of headaches
Eczema,Stroke,Psoriasis,Stroke,Psoriasis and Eczema are skin-related diseases
Gallstones,Kidney Stones,Epilepsy,Epilepsy,Kidney Stones and Gallstones are related to the formation of stones in the body
Hepatitis C,Parkinson's Disease,Hepatitis B,Parkinson's Disease,Hepatitis B and C are liver diseases
Ovarian Cancer,Prostate Cancer,Cervical Cancer,Prostate Cancer,Ovarian and Cervical Cancer affect female reproductive organs
Pneumonia,Tuberculosis,Lupus,Lupus,Tuberculosis and Pneumonia are lung infections
Diabetes,Gout,Arthritis,Diabetes,Gout and Arthritis are joint diseases
Crohn's Disease,Ulcerative Colitis,Multiple Sclerosis,Multiple Sclerosis,Crohn's Disease and Ulcerative Colitis are inflammatory bowel diseases
Basal Cell Carcinoma,Melanoma,Heart Failure,Heart Failure,Melanoma and Basal Cell Carcinoma are skin cancers
Asthma,Hemophilia,Thalassemia,Asthma,Hemophilia and Thalassemia are blood disorders
Bipolar Disorder,Schizophrenia,Osteoarthritis,Osteoarthritis,Bipolar Disorder and Schizophrenia are mental disorders
Peptic Ulcer,GERD,Malaria,Malaria,GERD and Peptic Ulcer are digestive system diseases
Hypothyroidism,Pulmonary Fibrosis,Cystic Fibrosis,Hypothyroidism,Cystic Fibrosis and Pulmonary Fibrosis are lung diseases
Glaucoma,Sickle Cell Disease,Leukemia,Glaucoma,Sickle Cell Disease and Leukemia are blood diseases
Hepatitis A,ALS,Parkinson's Disease,Hepatitis A,ALS and Parkinson's Disease are neurological disorders
Liver Disease,Kidney Disease,Migraine,Migraine,Kidney and Liver Disease are organ diseases
Tuberculosis,Chickenpox,Measles,Tuberculosis,Measles and Chickenpox are viral diseases
Bronchitis,Encephalitis,Meningitis,Bronchitis,Meningitis and Encephalitis are brain infections
Tetanus,Polio,Psoriasis,Psoriasis,Polio and Tetanus are caused by bacteria
Gonorrhea,Syphilis,Diabetes,Diabetes,Gonorrhea and Syphilis are sexually transmitted diseases
Asthma,Lyme Disease,Malaria,Asthma,Lyme Disease and Malaria are vector-borne diseases
Hypertension,Typhoid,Cholera,Hypertension,Cholera and Typhoid are waterborne diseases
Pertussis,Mumps,Lupus,Lupus,Pertussis and Mumps are infectious diseases
Osteoarthritis,Rheumatoid Arthritis,Leukemia,Leukemia,Rheumatoid Arthritis and Osteoarthritis are types of arthritis
The Great Famine,The Black Death,The Industrial Revolution,The Industrial Revolution,The Black Death and The Great Famine are medieval pandemics
Democracy,Feudalism,Chivalry,Democracy,Chivalry and Feudalism are social systems from the medieval period
Longbow,Musket,Crossbow,Musket,Longbow and Crossbow are medieval weapons
Morning Star,Halberd,Mace,Halberd,Mace and Morning Star are blunt weapons
Rapier,Pike,Dagger,Pike,Dagger and Rapier are short-range weapons
Longsword,Flail,Warhammer,Longsword,Warhammer and Flail are impact weapons
Battle Axe,Lance,Javelin,Battle Axe,Lance and Javelin are thrown weapons
Falchion,Trebuchet,Scimitar,Trebuchet,Scimitar and Falchion are curved swords
Catapult,Zweihander,Claymore,Catapult,Claymore and Zweihander are two-handed swords
Arquebus,Longbow,Sabre,Sabre,Arquebus and Longbow are long-range weapons
Crossbow,Bardiche,Glaive,Crossbow,Bardiche and Glaive are pole weapons
Billhook,Mace,Halberd,Mace,Billhook and Halberd have hooking capabilities
Pike,Partisan,Dagger,Dagger,Partisan and Pike are polearms
Quarterstaff,Lance,Mace,Lance,Quarterstaff and Mace are wooden weapons
Rapier,Morningstar,Flail,Rapier,Morning Star and Flail have chained components
Trebuchet,Hand Cannon,Scimitar,Scimitar,Hand Cannon and Trebuchet are siege weapons
Crossbow,Arquebus,Warhammer,Warhammer,Crossbow and Arquebus use ammunition
Rapier,Trebuchet,Catapult,Rapier,Catapult and Trebuchet are mechanical weapons
Mace,Zweihander,Claymore,Mace,Zweihander and Claymore are large swords
Pike,Rapier,Dagger,Pike,Rapier and Dagger are thrusting weapons
Bardiche,Crossbow,Glaive,Crossbow,Glaive and Bardiche are slashing weapons
Warhammer,Lance,Morningstar,Lance,Morning Star and Warhammer are crushing weapons
Longbow,Sabre,Scimitar,Longbow,Sabre and Scimitar are light swords
Longsword,Broadsword,Javelin,Javelin,Longsword and Broadsword are one-handed swords
Dagger,Halberd,Billhook,Dagger,Halberd and Billhook have a long reach
Mace,Pike,Lance,Mace,Pike and Lance are spear-like weapons
Morningstar,Flail,Rapier,Rapier,Flail and Morning Star have a chain component
Longbow,Battle Axe,Warhammer,Longbow,Battle Axe and Warhammer are heavy weapons
Catapult,Scimitar,Hand Cannon,Scimitar,Catapult and Hand Cannon are powered weapons
Spangenhelm,Cuirass,Kettle Hat,Cuirass,Spangenhelm and Kettle Hat are helmets
Gauntlet,Vambrace,Pauldron,Pauldron,Gauntlet and Vambrace protect the arm
Sabaton,Tasset,Greave,Tasset,Greave and Sabaton are for leg protection
Bevor,Visor,Gorget,Visor,Bevor and Gorget protect the neck
Buckler,Breastplate,Heater Shield,Breastplate,Buckler and Heater Shield are shields
Rondel Dagger,Longsword,Faulds,Faulds,Rondel Dagger and Longsword are weapons
Bevor,Vambrace,Rerebrace,Bevor,Vambrace and Rerebrace are arm armours
Couter,Gorget,Poleyn,Gorget,Couter and Poleyn protect the joints
Faulds,Gauntlet,Tassets,Gauntlet,Faulds and Tassets protect the waist
Great Helm,Sallet,Pauldron,Pauldron,Great Helm and Sallet are helmets
Pauldron,Bevor,Spaulder,Bevor,Spaulder and Pauldron protect the shoulder
Sabaton,Aketon,Gambeson,Sabaton,Gambeson and Aketon are padded armours
Padded Coif,Longsword,Chainmail Coif,Longsword,Padded and Chainmail Coif are head protections
Poleaxe,Barbute,Morion,Poleaxe,Barbute and Morion are helmets
Vambrace,Plackart,Breastplate,Vambrace,Plackart and Breastplate are chest protections
Greave,Bevor,Sabaton,Bevor,Sabaton and Greave are foot protections
Bevor,Kettle Hat,Gorget,Kettle Hat,Gorget and Bevor are neck protections
Spaulder,Rondel Dagger,Arming Sword,Spaulder,Rondel Dagger and Arming Sword are weapons
Morion,Cuirass,Kettle Hat,Cuirass,Kettle Hat and Morion are helmets
Halberd,Faulds,Tasset,Halberd,Tasset and Faulds are waist protections
Arming Sword,Couter,Poleyn,Arming Sword,Poleyn and Couter are joint protections
Buckler,Gauntlet,Heater Shield,Gauntlet,Heater Shield and Buckler are shields
Aphrodite,Athena,Artemis,Aphrodite,Athena and Artemis are virgin goddesses
Hades,Hera,Persephone,Hera,Hades and Persephone are married
Hercules,Hermes,Perseus,Hermes,Hercules and Perseus are mortal sons of Zeus
Pegasus,Minotaur,Medusa,Pegasus,Medusa and Minotaur are monstrous beings
Dionysus,Ares,Apollo,Ares,Dionysus and Apollo are sons of Zeus born from mortal women
Ares,Hermes,Hephaestus,Hermes,Hephaestus and Ares are sons of Hera
Athena,Hydra,Cerberus,Athena,Hydra and Cerberus are creatures from the Underworld
Icarus,Daedalus,Hercules,Hercules,Icarus and Daedalus are father and son
Eros,Hestia,Hermes,Hestia,Eros and Hermes are gods associated with love and desire
Achilles,Cyclops,Argus,Achilles,Argus and Cyclops are creatures with abnormal number of eyes
Prometheus,Aphrodite,Atlas,Aphrodite,Atlas and Prometheus are Titans who were punished by the gods
Echo,Narcissus,Persephone,Persephone,Narcissus and Echo are figures associated with unrequited love
Sisyphus,Tantalus,Dionysus,Dionysus,Sisyphus and Tantalus are mortals punished in the Underworld
Ares,Hercules,Theseus,Ares,Theseus and Hercules are heroes who completed labours
Clio,Poseidon,Calliope,Poseidon,Calliope and Clio are Muses
Medea,Jason,Aphrodite,Aphrodite,Jason and Medea are figures from the Argonauts myth
Helen,Paris,Athena,Athena,Paris and Helen are figures from the Trojan War
Patroclus,Achilles,Hermes,Hermes,Achilles and Patroclus are figures from the Iliad
Penelope,Perseus,Odysseus,Perseus,Odysseus and Penelope are husband and wife
Echidna,Dionysus,Typhon,Dionysus,Echidna and Typhon are monstrous parents
Apollo,Leto,Artemis,Leto,Artemis and Apollo are twin siblings
HD 209458 b,Gliese 667 Cc,Kepler-22b,HD 209458 b,Gliese 667 Cc and Kepler-22b are super-Earths
Kepler-452b,TRAPPIST-1e,GJ 1214 b,GJ 1214 b,Kepler-452b and TRAPPIST-1e are Earth-like planets
HD 209458 b,Kepler-20f,Gliese 667 Cc,HD 209458 b,Kepler-20f and Gliese 667 Cc are in the same star system
Minerva God,Pluto God,Neptune God,Minerva God,Neptune and Pluto are both gods of the underworld
Diana God,Apollo God,Vesta Goddess,Vesta Goddess,Apollo God and Diana God are both gods of the hunt
Jupiter God,Juno Goddess,Saturn God,Juno Goddess,Saturn God and Jupiter God are both sky gods
Victoria Goddess,Fortuna Goddess,Vulcan God,Vulcan God,Fortuna and Victoria are both goddesses of fortune and victory
Bacchus God,Neptune God,Apollo God,Apollo God,Neptune and Bacchus are both gods of the sea
Diana God,Mercury God,Minerva God,Mercury God,Minerva God and Diana God are both goddesses of wisdom
Ceres God,Juno Goddess,Vesta God,Juno Goddess,Ceres and Vesta God are both goddesses of the hearth
Pluto God,Mars God,Vulcan God,Mars God,Pluto and Vulcan are both gods of the underworld
Mercury God,Jupiter God,Diana God,Diana God,Mercury and Jupiter Godare both gods of trade
Venus Goddess,Juno Goddess,Mars God,Mars God,Venus and Juno are both goddesses of marriage
Vesta Goddess,Ceres Goddess,Pluto God,Pluto God,Vesta God and Ceres are both goddesses of agriculture
Vulcan God,Neptune God,Mars God,Neptune God,Vulcan and Mars are both gods of fire
Minerva God,Bacchus God,Mercury God,Bacchus God,Minerva God and Mercury are both gods of wisdom
Jupiter God,Fortuna Goddess,Saturn God,Fortuna Goddess,Jupiter Godand Saturn God are both gods of the sky
Apollo God,Venus Goddess,Diana God,Venus Goddess,Diana God and Apollo God are both gods of the hunt
Cupid God,Venus Goddess,Juno Goddess,Juno Goddess,Cupid and Venus are both gods of love
Pluto God,Mercury God,Neptune God,Mercury God,Neptune and Pluto are both gods of the underworld
Ceres God,Vulcan God,Mars God,Ceres God,Mars and Vulcan are both gods of war
Victoria Goddess,Saturn God,Fortuna Goddess,Saturn God,Victoria and Fortuna are both goddesses of victory
Neptune God,Bacchus God,Vesta God,Vesta God,Bacchus and Neptune are both gods of the sea
Juno Goddess,Venus Goddess,Jupiter God,Jupiter God,Juno and Venus are both goddesses of love
Apollo God,Minerva God,Mercury,Apollo God,Mercury and Minerva God are both gods of wisdom
Jupiter God,Saturn God,Diana God,Diana God,Saturn God and Jupiter Godare both gods of the sky
Diana God,Apollo God,Mars God,Mars God,Apollo God and Diana God are both gods of the hunt
Mars God,Vulcan God,Cupid God,Cupid God,Vulcan and Mars are both gods of fire
Desert,Rainforest,Ocean,Desert,Rainforest and Ocean both have high biodiversity
Savanna,Mangrove Forest,Coral Reef,Savanna,Coral Reef and Mangrove Forest are both aquatic ecosystems
Greenhouse Effect,Acid Rain,Ozone Depletion,Acid Rain,Greenhouse Effect and Ozone Depletion are both caused by air pollution
Urbanization,Soil Erosion,Deforestation,Urbanization,Deforestation and Soil Erosion are both results of poor land management
Nuclear Energy,Fossil Fuels,Renewable Energy,Renewable Energy,Fossil Fuels and Nuclear Energy are non-renewable energy sources
Composting,Landfill,Recycling,Landfill,Composting and Recycling are both waste management strategies that reduce waste
Fermentation,Photosynthesis,Cellular Respiration,Fermentation,Photosynthesis and Cellular Respiration are both processes that occur in plants
Veganism,Organic Farming,GMOs,GMOs,Veganism and Organic Farming both promote natural and sustainable food production
Global Warming,Seasonal Change,Climate Change,Seasonal Change,Climate Change and Global Warming are both long-term changes in weather patterns
Noise Pollution,Air Pollution,Water Pollution,Noise Pollution,Water Pollution and Air Pollution are both types of environmental pollution that affect physical resources
Carbon Footprint,Water Footprint,Ecological Footprint,Water Footprint,Ecological Footprint and Carbon Footprint are both measures of human impact on the environment
Rainforest,Wetland,Desert,Desert,Wetland and Rainforest both have high water availability
Troposphere,Greenhouse Gases,Ozone Layer,Troposphere,Greenhouse Gases and Ozone Layer are both related to Earth's atmosphere
Preservation,Destruction,Conservation,Destruction,Conservation and Preservation are both efforts to protect the environment
Algae Bloom,Forest Fire,Coral Bleaching,Forest Fire,Algae Bloom and Coral Bleaching are both phenomena that occur in aquatic ecosystems
Acidification,Neutralization,Eutrophication,Neutralization,Eutrophication and Acidification are both processes that change the pH of an environment
Gasoline Engines,Solar Panels,Wind Turbines,Gasoline Engines,Solar Panels and Wind Turbines are both sources of renewable energy
Biodegradable,Compostable,Non-degradable,Non-degradable,Biodegradable and Compostable both refer to waste that can break down naturally
Geothermal Energy,Petroleum,Hydroelectric Power,Petroleum,Hydroelectric Power and Geothermal Energy are both renewable energy sources
Ozone Hole,Doppler Effect,Greenhouse Effect,Doppler Effect,Ozone Hole and Greenhouse Effect are both atmospheric phenomena
Volcano,Coral Reef,Kelp Forest,Volcano,Coral Reefs and Kelp Forests are both underwater ecosystems
Tsunami,Tidal Wave,Earthquake,Earthquake,Tsunamis and Tidal Waves are both sea waves
Saltwater,Freshwater,Brackish Water,Freshwater,Saltwater and Brackish Water both contain salt
Seaweed,Algae,Coral,Coral,Seaweed and Algae are both plants
Great Barrier Reef,Amazon Rainforest,Red Sea Coral Reef,Amazon Rainforest,The Great Barrier Reef and Red Sea Coral Reef are both coral reefs
Sea Turtle,Sea Horse,Sea Lion,Sea Lion,Sea Turtles and Sea Horses are both reptiles
Volcano,Glacier,Polar Ice Cap,Volcano,Polar Ice Caps and Glaciers are both made of ice
Mount Everest,Mariana Trench,Challenger Deep,Mount Everest,Mariana Trench and Challenger Deep are both the deepest parts of the ocean
Continental Crust,Oceanic Crust,Mantle,Mantle,Oceanic Crust and Continental Crust are both types of earth's crust
Red Sea,Black Forest,Dead Sea,Black Forest,Dead Sea and Red Sea are both seas
Sea Anemone,Jellyfish,Coral,Jellyfish,Sea Anemone and Coral are both sessile creatures
Abyssal Plain,Mountain Range,Continental Shelf,Mountain Range,Abyssal Plain and Continental Shelf are both flat areas on the ocean floor
Sargasso Sea,Mediterranean Sea,Amazon River,Amazon River,Sargasso Sea and Mediterranean Sea are both seas
Arctic Ocean,Southern Ocean,Lake Baikal,Lake Baikal,Arctic and Southern Oceans are both polar oceans
