"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"obj_4: The Big Bang Theory",,,,,
"odd: Friends",,,,,
"reason_for_similarity: The others are based on books.",,,,,
"Paul Bocuse","Joël Robuchon","Rick Bayless","Julia Child","Julia Child","The others are French Chefs."
"Aragorn","Legolas","Gimli","Frodo","Frodo","The others are members of the Fellowship of the Ring who fought at the Battle of Helm's Deep."
"obj_3: Tonic",,,,,
"obj_4: Crescendo",,,,,
"odd: Crescendo",,,,,
"reason_for_similarity: The others are musical intervals.",,,,,
"Emily Bronte","Charlotte Bronte","Jane Austen","Virginia Woolf","Jane Austen","The others are Brontes"
"Ibis","Stork","Eagle","Shark","Shark","The others are birds"
"Souvlaki","Moussaka","Enchiladas","Lasagna","Enchiladas","The others are Greek dishes"
"The Parthenon","The Acropolis","The Colosseum","Amazon Rainforest","Amazon Rainforest","The others are ancient structures."
"Baroque","Rococo","French Revolution","Renaissance","Renaissance","The others are related to the 18th century."
"Mead","Ale","Water","Wine","Water","The others are alcoholic beverages"
"Jane Margolis","Andrea Cantillo","Lydia Rodarte-Quayle","Skyler White","Skyler White","The others are drug users"
"Bacchus and Ariadne","The Rape of Europa","The Birth of Venus","American Gothic","American Gothic","The others are based on Greek mythology."
"The Birth of Venus","Primavera","The School of Athens","The Last Supper","The Last Supper","The others are by Botticelli"
"Chandler Bing","Ross Geller","Phoebe Buffay","Joey Tribbiani","Joey Tribbiani","The others are not actors in real life."
"Incisors, Canines, Molars, Wisdom Teeth, Wisdom Teeth, The others are types of teeth that typically have one root.",,,,,
"Council of Trent","Peace of Augsburg","Treaty of Tordesillas","Magna Carta","Magna Carta","The others are 16th century agreements"
"Arctic Ocean","Atlantic Ocean","Barents Sea","Sahara Desert","Sahara Desert","The others are bodies of water"
"Black Death","Spanish Flu","World War II","Industrial Revolution","Industrial Revolution","The others are major global catastrophes"
"Alexander Fleming","Louis Pasteur","Isaac Newton","Albert Einstein","Isaac Newton","The others are Microbiologists."
"Joule","Watt","Newton","Kelvin","Kelvin","The others are units of measurement in physics related to work or force."
"Galileo Galilei","Nicolaus Copernicus","Isaac Newton","Thomas Edison","Thomas Edison","The others are physicists."
"Owl","Bat","Snake","Tiger","Tiger","The others are nocturnal"
"Vietnamese Cuisine","Thai Cuisine","American Cuisine","French Cuisine","American Cuisine","The others are Asian cuisines."
"obj_3: Womp Rats",,,,,
"obj_4: Admiral Ackbar",,,,,
"odd: Admiral Ackbar",,,,,
"reason_for_similarity: The others are non-speaking creatures.",,,,,
"Pierre Gagnaire","Alain Ducasse","Emeril Lagasse","Julia Child","Julia Child","The others are French chefs"
"Champs-Élysées","Orchard Road","Broadway","River Thames","River Thames","The others are famous streets"
"Charlemagne, Constantine, William Shakespeare, Albert Einstein, Albert Einstein, The others are historical figures who had a significant impact during the Middle Ages and Renaissance periods.",,,,,
"Toronto","Vancouver","Seoul","Sydney","Seoul","The others are in the Commonwealth of Nations"
"The Hound, The Mountain, Bronn, Tyrion Lannister, Bronn, The others are from House Clegane.",,,,,
"The Wall","Winterfell","King's Landing","Riverrun","Riverrun","The others are in the opening credits of Game of Thrones"
"Phoebe Buffay","Rachel Green","Janice Litman","Monica Geller","Janice Litman","The others are roommates."
"Nikita Khrushchev","Leonid Brezhnev","Richard Nixon","Fidel Castro","Richard Nixon","The others are Communist leaders."
"Mansa Musa","Sundiata Keita","Alexander the Great","Julius Caesar","Julius Caesar","The others are African rulers"
"Iris","Cornea","Retina","Lens","Lens","The others are parts of Uvea"
"Chocolate Eclair","Cream Puff","Jello","Apple Pie","Jello","The others are pastries."
"Mount Everest","K2","Nile River","Sahara Desert","Sahara Desert","The others are in the Himalayan Mountain Range"
"Battle of the Somme","Battle of Verdun","Battle of Waterloo","Battle of Trafalgar","Battle of Trafalgar","The others are land battles."
"James Meredith","Ruby Bridges","Neil Armstrong","Rosa Parks","Neil Armstrong","The others are Civil Rights Activists."
"Hanoi","Phnom Penh","Seoul","Sydney","Sydney","The others are capital cities in Asia"
"Eowyn","Arwen","Galadriel","Frodo","Frodo","The others are female characters in Lord of the Rings"
"Inertia","Momentum","Force","Gravity","Gravity","The others are Newton's laws of motion"
"Dark Matter, Dark Energy, Antimatter, Black Hole, Black Hole, The others are not associated with gravitational effects.",,,,,
"The Game","2 Chainz","Common","Kanye West","Kanye West","The others are one-word stage names."
"The Statue of Liberty","The Lincoln Memorial","The Sydney Opera House","The Great Wall of China","The Great Wall of China","The others are not ancient artifacts"
"The Twins","The Agents","The Keymaker","The Oracle","The Oracle","The others are programs created by the Architect in the Matrix."
"Willow","Poplar","Cedar","Oak","Oak","The others are types of softwood trees"
"Avenida Paulista","Calle Florida","Park Avenue","Amazon River","Amazon River","The others are streets"
"obj_3: Martin Luther King Jr.",,,,,
"obj_4: Nelson Mandela",,,,,
"odd: Nelson Mandela",,,,,
"reason_for_similarity: The others are American civil rights activists.",,,,,
"The White House","The Capitol Building","Buckingham Palace","The Pyramids of Giza","The Pyramids of Giza","The others are seats of government."
"Thomas Paine","Patrick Henry","Voltaire","John Locke","John Locke","The others are not English."
"Rudolf Diesel, Karl Benz, George Stephenson, Alexander Graham Bell, Alexander Graham Bell, The others are pioneers in the field of transportation.",,,,,
"Pigeon","Dove","Falcon","Penguin","Penguin","The others are able to fly"
"The Old Man and the Sea","Moby Dick","War and Peace","To Kill a Mockingbird","To Kill a Mockingbird","The others are set on or near the sea"
"Millard Fillmore","Franklin Pierce","Ronald Reagan","Abraham Lincoln","Abraham Lincoln","The others were not assassinated."
"Thomas Gainsborough","Joshua Reynolds","Mary Cassatt","Leonardo da Vinci","Leonardo da Vinci","The others are British."
"Corsica, Sardinia, Elba, Sicily, Sicily, The others are French territories.",,,,,
"The Girl with a Pearl Earring","Mona Lisa","The Scream","Starry Night","Starry Night","The others are portraits."
"Milk","Beer","Wine","Water","Water","The others are fermented"
"Woodrow Wilson","William Howard Taft","George W. Bush","Benjamin Franklin","Benjamin Franklin","The others are Presidents of the United States."
"Polynomial","Quadratic equation","Logarithm","Matrix","Matrix","The others are types of functions"
"Senet","Mehen","Shabti","Backgammon","Shabti","The others are ancient board games."
"Poaching, Simmering, Grilling, Baking, Baking, The others are cooking methods using liquid.",,,,,
"Java","Borneo","Luzon","Python","Python","The others are islands"
"Gymnastics Trampoline","Gymnastics Ribbon","Gymnastics Hoop","Gymnastics Beam","Gymnastics Trampoline","The others are used in rhythmic gymnastics"
"Water","Soda","Wine","Milk","Milk","The others are non-dairy drinks"
"Horcrux","Portkey","Invisibility Cloak","Elder Wand","Elder Wand","The others are used for transportation."
"Houston Rockets","Dallas Mavericks","Boston Celtics","Liverpool FC","Liverpool FC","The others are NBA teams"
"Minstrel","Bard","Knight","Scribe","Scribe","The others are medieval occupations associated with combat or entertainment"
"New York","London","Mount Fuji","The Amazon Rainforest","Mount Fuji","The others are not natural landmarks"
"Beorn","Bombur","Bifur","Bilbo","Beorn","The others are Dwarves."
"Dead Sea","Mariana Trench","Great Blue Hole","Mount Everest","Mount Everest","The others are underwater features"
"Declaration of the Rights of Man, Civil Constitution of the Clergy, Napoleonic Code, Magna Carta, Magna Carta, The others are French Revolutionary documents.",,,,,
"The Dead Sea","The Great Salt Lake","The Grand Canyon","Lake Baikal","The Grand Canyon","The others are saltwater bodies."
"Roman Baths","Roman Villas","Roman Aqueducts","Medieval Castles","Medieval Castles","The others are Roman architectural structures."
"Basalt","Andesite","Sandstone","Diamond","Diamond","The others are igneous rocks"
"Baklava","Moussaka","Tiramisu","Sushi","Sushi","The others are Mediterranean dishes."
"Seventh Inning Stretch","Batting Practice","Baseball Glove","Soccer Ball","Soccer Ball","The others are related to baseball"
"Robert Fulton","James Watt","Benjamin Franklin","Alexander Graham Bell","Benjamin Franklin","The others are inventors associated with transportation innovations."
"The Dark Knight Rises","Interstellar","Braveheart","Inception","Braveheart","The others are directed by Christopher Nolan."
"Nitrogen","Phosphorus","Sulfur","Oxygen","Oxygen","The others are nonmetals in group 15 of the periodic table"
"Maximilien Robespierre","Louis Antoine de Saint-Just","Georges Danton","Napoleon Bonaparte","Napoleon Bonaparte","The others are leaders of the French Revolution."
"Emmanuelle Charpentier","Jennifer Doudna","Liu Xiaobo","Albert Einstein","Albert Einstein","The others are Nobel laureates in the 21st century."
"The Motherland Calls","The Little Mermaid","The Great Sphinx","The Statue of Liberty","The Little Mermaid","The others are monuments made of stone."
"Bacchus and Ariadne","The Rape of Europa","American Gothic","The Birth of Venus","American Gothic","The others are from Greek Mythology."
"Quarter Note","Half Note","Dotted Quarter Note","Whole Note","Whole Note","The others are not Whole Notes."
"Pumpkin Pie","Pecan Pie","Trifle","Apple Strudel","Trifle","The others are crust-based pies."
"Trench Foot","Shell Shock","PTSD","Frostbite","Frostbite","The others are related to war trauma."
"Bengal Tiger","Siberian Tiger","Bengal Cat","Siberian Cat","Siberian Cat","The others are Bengals"
"Middle Kingdom","New Kingdom","Old Kingdom","Rosetta Stone","Rosetta Stone","The others are periods in Ancient Egyptian history."
"Neutrino","Photon","Electron","Proton","Proton","The others are leptons"
"obj_3: Orlando Bloom,",,,,,
"obj_4: Keanu Reeves,",,,,,
"odd: Keanu Reeves,",,,,,
"reason_for_similarity: The others are actors in Pirates of the Caribbean.",,,,,
"Macrinus","Elagabalus","Augustus","Nero","Macrinus","The others are Julio-Claudian dynasty emperors"
"Snow Leopard, Clouded Leopard, Snowy Owl, Arctic Fox, Snowy Owl, The others are Leopards.",,,,,
"Agent Smith","Agent Brown","Agent Jones","The Architect","The Architect","The others are Agents in the Matrix series"
"Capoeira","Samba","Karate","Tango","Karate","The others are Brazilian origin."
"Vivaldi","Bach","Beethoven","Picasso","Picasso","The others are Baroque and Classical composers"
"Machu Picchu","Chichen Itza","The White House","The Pyramids","The White House","The others are ancient wonders."
"Braising","Stewing","Sauteing","Grilling","Grilling","The others are moist cooking methods"
"Gothic Revival","Neoclassicism","Renaissance Architecture","Civil Rights Movement","Civil Rights Movement","The others are architectural styles."
"Fossilized starfish","Fossilized trilobite","Dinosaur feather","Petrified wood","Dinosaur feather","The others are invertebrate fossils"
"Aurora Borealis","Aurora Australis","Iguazu Falls","Milky Way Galaxy","Iguazu Falls","The others are astronomical phenomena."
"The Loch Ness Monster, The First Photograph, Raising a Flag over the Reichstag, The Moon Landing, The Loch Ness Monster, The others are historical events documented by photographs.",,,,,
"Stock","Bond","Commodity","Real Estate","Real Estate","The others are tradable financial instruments"
"Beijing","Shanghai","Moscow","Sydney","Sydney","The others are in the Northern Hemisphere"
"Manhattan Project","Trinity Test","Apollo Program","Operation Paperclip","Operation Paperclip","The others are US projects that were directly related to World War II."
"Badger","Combo","Todd Alquist","Jesse Pinkman","Combo","The others are characters from Breaking Bad who have worked directly under Walter White."
"Antoninus Pius","Marcus Aurelius","Vespasian","Julius Caesar","Julius Caesar","The others are considered 'Good Emperors' in Roman history"
"Grey's Anatomy","ER","The Simpsons","House","The Simpsons","The others are medical dramas"
"Prime number","Composite number","Negative number","Imaginary number","Negative number","The others are real numbers."
"Popeye","Olive Oyl","Betty Boop","Mickey Mouse","Mickey Mouse","The others are characters created by Fleischer Studios."
"Tapestry, Mosaic, Scroll, Painting, Scroll, The others are forms of Artwork that require assembly or construction.",,,,,
"Thomas Jefferson","James Madison","Abraham Lincoln","Alexander Hamilton","Alexander Hamilton","The others are Presidents of the United States"
"The Golden Gate Bridge","The Empire State Building","The Kremlin","The Sydney Opera House","The Kremlin","The others are in the United States."
"Captain Atom","Firestorm","Nightcrawler","Batman","Batman","The others have nuclear-based powers."
"Bora Bora","The Maldives","The Sahara Desert","The Amazon Rainforest","The Sahara Desert","The others are surrounded by water"
"The Venus of Willendorf, The Venus de Milo, The Last Supper, The Starry Night, The Starry Night, The others are related to religious or spiritual themes.",,,,,
"Toronto Raptors","Vancouver Grizzlies","LA Lakers","Boston Celtics","Boston Celtics","The others are or were part of the NBA's Canadian teams."
"Helen Mirren","Julianne Moore","Charlize Theron","Leonardo DiCaprio","Leonardo DiCaprio","The others are female actors."
"Francis Crick","James Watson","Thomas Edison","Albert Einstein","Thomas Edison","The others are Nobel Laureates in Physiology or Medicine"
"Dolly Parton","Kenny Rogers","Michael Jackson","Elvis Presley","Elvis Presley","The others are Grammy Winners"
"The Great Barrier Reef","The Amazon Rainforest","The Sahara Desert","The Colosseum","The Colosseum","The others are natural habitats."
"Syrah (France)","Grenache (France)","Syrah (South Africa)","Chardonnay (France)","Chardonnay (France)","The others are red wines"
"The Crown","Downton Abbey","Stranger Things","The Big Bang Theory","Stranger Things","The others are set in the UK."
"Hank Schrader","Steve Gomez","Skyler White","Walter White","Steve Gomez","The others are Whites"
"Sheet Music, Tablature, MIDI, Vinyl Record, Vinyl Record, The others are forms of written music notation.",,,,,
"Blitzkrieg","Kamikaze","Trench warfare","Guerilla warfare","Kamikaze","The others are land-based military strategies"
"obj_3: Ion,",,,,,
"obj_4: Electron,",,,,,
"odd: Electron,",,,,,
"reason_for_similarity: The others are made up of more than one particle.",,,,,
"Simmering","Boiling","Grilling","Baking","Grilling","The others are methods of cooking involving liquid"
"Ganges River","Nile River","Amazon River","Australia","Australia","The others are rivers"
"Adolf Hitler","Benito Mussolini","Winston Churchill","Nelson Mandela","Winston Churchill","The others are fascist leaders"
"Chestnut","Walnut","Fir","Pine","Pine","The others are types of nuts"
"Owl","Hawk","Parrot","Penguin","Penguin","The others are raptors"
"Pine","Fir","Maple","Oak","Oak","The others are evergreen trees"
"Atomic Bomb","V2 Rocket","Enigma Machine","Colossus","Colossus","The others are German World War II inventions"
"Starfleet","Klingon Empire","Romulan Empire","Galactic Empire","Galactic Empire","The others are from Star Trek universe."
"Emancipation Proclamation","Thirteenth Amendment","Declaration of Independence","Magna Carta","Magna Carta","The others are American historical documents"
"Venus of Hohle Fels","Venus of Lespugue","Venus of Willendorf","The Ishtar Gate","The Ishtar Gate","The others are Venus figurines"
"Thutmose","Ramses","Nefertiti","Rosetta Stone","Rosetta Stone","The others are ancient Egyptian pharaohs."
"Tom Hanks","Kevin Spacey","Matthew McConaughey","Christian Bale","Christian Bale","The others have won Academy Awards for Best Actor."
"Tsing Ma Bridge","Forth Bridge","Pont Alexandre III","The Eiffel Tower","The Eiffel Tower","The others are bridges."
"The Statue of David","The Venus of Milo","Christ the Redeemer","The Great Sphinx of Giza","The Great Sphinx of Giza","The others are Greek or Roman sculptures."
"Thurgood Marshall","Earl Warren","Richard Nixon","John Roberts","Richard Nixon","The others are Chief Justices of the United States Supreme Court."
"Shiraz (Australia)","Cabernet Sauvignon (Australia)","Cabernet Sauvignon (Chile)","Sauvignon Blanc (France)","Sauvignon Blanc (France)","The others are red wines."
"Brontosaurus","Diplodocus","Dire wolf skull","Spinosaurus","Dire wolf skull","The others are dinosaurs."
"Ancient Sumer","Ancient Rome","Ancient Egypt","Ancient Babylon","Ancient Rome","The others are Mesopotamian civilizations."
"Sémillon (Australia)","Shiraz (Australia)","Sémillon (France)","Chardonnay (France)","Shiraz (Australia)","The others are white wines."
"The Big Lebowski","Fargo","Goodfellas","The Shining","The Shining","The others are directed by the Coen Brothers."
"Cairo","Johannesburg","Madrid","Tokyo","Tokyo","The others are in Africa and Europe"
"Pacific Ocean","Indian Ocean","Bering Sea","Sahara Desert","Sahara Desert","The others are bodies of water"
"Amazon Rainforest","Sahara Desert","Pacific Ocean","Mount Everest","Sahara Desert","The others are home to a large body of water"
"Carpathian","Rockies","Himalayas","Alps","Alps","The others are in Asia"
"Teak","Mahogany","Fir","Oak","Oak","The others are tropical woods"
"Atacama","Gobi","Mojave","Amazon","Amazon","The others are deserts"
"The Catcher in the Rye","To Kill a Mockingbird","The Hobbit","Pride and Prejudice","The Hobbit","The others are set in the United States"
"Meryl Streep","Katharine Hepburn","Jennifer Lawrence","Daniel Day-Lewis","Daniel Day-Lewis","The others are female actors."
"Simba","Mufasa","Baloo","Bambi","Baloo","The others are from The Lion King"
"The Pieta","The Thinker","The Terracotta Army","Mona Lisa","Mona Lisa","The others are sculptures."
"North America","Europe","Australia","Mars","Mars","The others are Earth continents."
"Mount Everest","K2","Mount Kilimanjaro","Pacific Ocean","Pacific Ocean","The others are mountains"
"Rhaegal, Viserion, Nymeria, Drogon, Nymeria, The others are dragons from Game of Thrones.",,,,,
"Saul Goodman, Mike Ehrmantraut, Todd Alquist, Hank Schrader, Saul Goodman, The others are not lawyers.",,,,,
"obj_3: Tea",,,,,
"obj_4: Lemonade",,,,,
"odd: Lemonade",,,,,
"reason_for_similarity: The others are hot drinks",,,,,
"Flames","Oilers","Maple Leafs","Patriots","Patriots","The others are NHL teams."
"Havana","Kingston","Nassau","Madrid","Madrid","The others are capitals of Caribbean countries"
"The Yardbirds","Cream","Red Hot Chili Peppers","The Beatles","The Beatles","The others are associated with Eric Clapton."
"Navel Orange","Blood Orange","Tangerine","Blueberries","Blueberries","The others are types of Oranges."
"Tokyo","Beijing","Sydney","Paris","Paris","The others are in the Pacific Ring of Fire."
"Jupiter","Saturn","Neptune","Mars","Mars","The others are gas giants."
"Newfoundland","Prince Edward Island","Tasmania","Greenland","Greenland","The others are islands"
"J.D. Salinger, Harper Lee, John Grisham, Ernest Hemingway, Ernest Hemingway, The others are living authors.",,,,,
"Gymnastic Club, Gymnastic Ribbon, Gymnastic Shoes, Gymnastic Mat, Gymnastic Mat, The others are held in hand while performing.",,,,,
"Searing","Grilling","Poaching","Baking","Baking","The others are dry heat cooking methods"
"Dobby","Kreacher","Hedwig","Aragog","Hedwig","The others are not birds"
"Bauhaus","Art Nouveau","Cubism","Protestant Reformation","Protestant Reformation","The others are art movements"
"Iron Curtain, Berlin Wall, Domino Theory, NATO, NATO, The others are associated with physical barriers or concepts related to the division during the Cold War.",,,,,
"Aqueduct","Circus Maximus","Great Wall","Eiffel Tower","Eiffel Tower","The others are ancient structures"
"Marcus Aurelius","Julius Caesar","Albert Einstein","Confucius","Confucius","The others are Western figures"
"Pop Fly","Ground Ball","Baseball Helmet","Baseball Glove","Baseball Helmet","The others are types of baseball plays."
"Oracle of Delphi","Pythia","Vestal Virgin","Sibylline Oracle","Vestal Virgin","The others are associated with prophecy in ancient Greece"
"Grand Canyon","Amazon Rainforest","Venice Canals","Sahara Desert","Venice Canals","The others are natural formations"
"The Matrix","Lord of the Rings: The Fellowship of the Ring","Gladiator","The Godfather","The Godfather","The others are films released in the 2000s"
"Abraham Lincoln","Jefferson Davis","George Washington","Benjamin Franklin","Benjamin Franklin","The others are Presidents of the United States."
"Fencing","Archery","Gymnastics","Swimming","Swimming","The others are judged on artistic performance."
"JavaScript","TypeScript","Swift","Python","Swift","The others are web languages"
"Doctor Strange","Scarlet Witch","Hulk","Tony Stark","Hulk","The others are genius inventors."
"The Dancing Men","The Valley of Fear","The Five Orange Pips","The Hound of the Baskervilles","The Hound of the Baskervilles","The others are Sherlock Holmes stories without animal in the title"
"Iaido","Kendo","Taekwondo","Judo","Judo","The others are sword-based martial arts."
"Bessemer Process","Open Hearth Furnace","Power Loom","Cotton Gin","Cotton Gin","The others are methods of steel production."
"Sequoia","Redwood","Palm","Maple","Palm","The others are coniferous trees"
"Anubis","Osiris","Cleopatra","Nile River","Nile River","The others are deities in ancient Egyptian mythology."
"Archaeopteryx","Pterodactyl","Saber-toothed tiger","Woolly Mammoth","Woolly Mammoth","The others are not mammals"
"Darth Vader","Emperor Palpatine","Boba Fett","Kylo Ren","Boba Fett","The others are Force-sensitive"
"The Bruce-Partington Plans","The Dying Detective","The Devil's Foot","A Study in Scarlet","A Study in Scarlet","The others are short stories by Sir Arthur Conan Doyle that appeared in His Last Bow collection."
"Karate","Jiu Jitsu","Muay Thai","Chess","Chess","The others are martial arts"
"Bourbon","Scotch","Beer","Champagne","Beer","The others are spirits"
"Ray Bradbury","Isaac Asimov","Arthur C. Clarke","Ernest Hemingway","Ernest Hemingway","The others are Science Fiction authors."
"Nas","Biggie Smalls","Ice Cube","Tupac Shakur","Tupac Shakur","The others are from New York"
"Montgomery Bus Boycott","Birmingham Campaign","Cuban Missile Crisis","March on Washington","Cuban Missile Crisis","The others are civil rights events."
"African Lion","Mountain Lion","Sea Lion","Daniel Lion","Daniel Lion","The others are wild animals."
"Rick Stein","Delia Smith","Ferran Adrià","Gordon Ramsay","Ferran Adrià","The others are British"
"Turkish Cuisine","Greek Cuisine","Mexican Cuisine","French Cuisine","Mexican Cuisine","The others are European Cuisines."
"Aggressive Inline Skating","Skateboarding","Free Diving","Surfing","Free Diving","The others are board sports"
"Lemon Tart","Apple Tart","Chocolate Tart","Chocolate Mousse","Chocolate Mousse","The others are Tarts."
"Arctic Hare","Snowshoe Hare","Arctic Fox","Emperor Penguin","Emperor Penguin","The others are mammals."
"Ben Affleck","Matt Damon","Casey Affleck","Christian Bale","Christian Bale","The others are actors who have played Batman."
"Guns N' Roses","Motley Crue","U2","Metallica","Metallica","The others are not thrash metal bands."
"Rockies","Carpathian","Great Dividing","Alps","Alps","The others are in the Southern Hemisphere"
"Ducks","Penguins","Sharks","Turtles","Sharks","The others are birds."
"Swing State","Red State","Blue State","Green State","Green State","The others are electoral classifications in the United States"
"Sandra Bullock","George Clooney","Julia Roberts","Meryl Streep","George Clooney","The others are Academy Award winners for Best Actress."
"Brahms","Wagner","Handel","Beethoven","Beethoven","The others are Baroque composers."
"Hawaii","Maui","Fiji","Sahara","Sahara","The others are islands."
"Capitals","Coyotes","Jets","Penguins","Penguins","The others are NHL team names"
"obj_3: Giant Anteater",,,,,
"obj_4: Koala",,,,,
"odd: Giant Anteater",,,,,
"reason_for_similarity: The others are marsupials.",,,,,
"Id","Ego","Superego","Consciousness","Consciousness","The others are components of Freud's structural model of the psyche"
"John Steinbeck","F. Scott Fitzgerald","George R. R. Martin","J. K. Rowling","J. K. Rowling","The others are American authors."
